ScenarioName,Username,Password,CertType,CountryCode,HighestLevelOfEducation,EducationStartYear,EducationEndYear,CountryOfInstitution,NameOfInstitution,FieldOfStudy,DegreeProgram,CourseTitle,ProviderName,CourseStartMonth,CourseStartYear,CourseEndMonth,CourseEndYear,QualifyingHours,ProjectTitle,Organization,JobTitle,FunctionalReportingArea,OrganizationPrimaryFocus,Approach,ProjectTeamSize,ProjectBudget,ProjectStartMonth,ProjectStartYear,ProjectEndMonth,ProjectEndYear,ProjectDescription,AgileMethodology,Country,Address,City,State,ZipCode,Phone,ExamLocation,NameOnCert,ExamAccommodation,AddressType,PhoneNumberType,ProgramProjectStartMonth1,ProgramProjectStartYear1,ProgramProjectEndMonth1,ProgramProjectEndYear1,ProgramProjectStartMonth2,ProgramProjectStartYear2,ProgramProjectEndMonth2,ProgramProjectEndYear2,DirectReports,DirectReportsPM,ProjectPortfolios,ProjectStartMonth1,ProjectStartYear1,ProjectEndMonth1,ProjectEndYear1,AdditionalExperienceTypes
Verify user can access certification application module,TestCertUser0901@pmi.org,,pmp,USA,Bachelor Degree,2010,2014,United States,PMP_TestInstitution,Computer Science,,PMP_Course-Title,PMP_Provider-Name,February,2020,May,2022,120,PMP_ProjectTitle,PMP_ProjectOrganization,PMP_JobTitle,IT or IS,Information Technology,Agile,5 to 9,$5M-$10M,January,2017,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to submit a PMP certification,,,pmp,USA,Masters Degree,2010,2014,United States,"Northeastern University, College of Professional Studies",,MS in Project Management,PMP_Course-Title,PMP_Provider-Name,January,2020,May,2022,120,PMP_ProjectTitle,PMP_ProjectOrganization,PMP_JobTitle,Research/R&D,Armed Forces,Traditional (Waterfall),10 to 14,$10M-$25M,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to submit a CAPM certification,,,capm,USA,Doctorate,2010,2014,United States,"Amberton University, Business Division",Business,,CAPM_Course-Title,CAPM_Provider-Name,January,2020,May,2022,120,CAPM_ProjectTitle,CAPM_ProjectOrganization,CAPM_JobTitle,Marketing,Food and Beverage,Hybrid,1 to 4,Up to $1M,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to submit a PMI-RMP certification,,,pmi_rmp,USA,Associates Degree,2010,2014,United States,"Bellevue University, College of Science and Technology",Project Management,,RMP_Course-Title,RMP_Provider-Name,January,2020,May,2022,120,RMP_ProjectTitle,RMP_ProjectOrganization,RMP_JobTitle,Operations,Manufacturing,Traditional (Waterfall),15 to 19,$1M-$5M,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to submit a PMI-SP certification,,,pmi_sp,USA,Doctorate,2010,2014,United States,"College of St. Scholastica, School of Business and Technology",Management,,SP_Course-Title,SP_Provider-Name,January,2020,May,2022,120,SP_ProjectTitle,SP_ProjectOrganization,SP_JobTitle,Training/Education,Training/Education,Agile,20 or more,Classified,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to submit a PMI-PBA certification,,,pmi_pba,USA,Bachelor Degree,2010,2014,United States,"Harrisburg University of Science and Technology",Accounting,,PBA_Course-Title,PBA_Provider-Name,January,2020,May,2022,120,PBA_ProjectTitle,PBA_ProjectOrganization,PBA_JobTitle,Sales,Pharmaceutical,Hybrid,Classified,$5M-$10M,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to submit a PMI-ACP certification,,,pmi_acp,USA,Associates Degree,2010,2014,United States,"Columbia Basin College, Business Division",Business Administration,,ACP_Course-Title,ACP_Provider-Name,January,2020,May,2022,120,ACP_ProjectTitle,ACP_ProjectOrganization,ACP_JobTitle,Research/R&D,Other,Agile,5 to 9,$25M or More,January,2016,June,2022,,Adaptive Software Development (ASD),United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to submit a PgMP certification,,,pgmp,USA,Masters Degree,2010,2014,United States,"Capella University, School of Undergraduate Studies & School of Business and Technology",,MBA - specialization in PM,PgMP_Course-Title,PgMP_Provider-Name,January,2020,May,2022,120,PgMP_ProjectTitle,PgMP_ProjectOrganization,PgMP_JobTitle,Customer Service,Healthcare,Traditional (Waterfall),10 to 14,$1M-$5M,January,2011,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,January,2011,December,2015,January,2016,May,2022,3,1,3,,,,,
Ensure user is able to submit a PfMP certification,,,pfmp,USA,High School Diploma,2010,2014,United States,TestInstitution,,,PfMP_Course-Title,PfMP_Provider-Name,January,2020,May,2022,120,PfMP_ProjectTitle,PfMP_ProjectOrganization,PfMP_JobTitle,PM Department or PMO,Government,Hybrid,1 to 4,Classified,January,2014,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,January,2011,December,2015,January,2016,May,2022,3,1,3,,,,,
Ensure user is able to submit a DAVSC certification,,,davsc,USA,Bachelor Degree,2010,2014,United States,"Bellevue University, College of Science and Technology",Industrial Engineering,,DAVSC_Course-Title,DAVSC_Provider-Name,January,2020,May,2022,120,DAVSC_ProjectTitle,DAVSC_ProjectOrganization,DAVSC_JobTitle,Other,Automotive,Agile,Classified,$10M-$25M,January,2016,June,2022,,Agile Modeling,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,January,2011,December,2015,January,2016,May,2022,3,1,3,,,,,
